COMMENT_ID,TEXT,IS_TOXIC
479BsYWn,"This Senator voted to confirm a handful of unfit, unqualified candidates, including RFK Jr.  He is just as culpable for all of the negative actions this administrations have taken as the people in the cabinet making the decisions.  There is no excuse for an educated expert in the field to confirm obviously unqualified candidates.  His failed leadership in this area is part of the problem.  You can’t rubber stamp something you ethically know is wrong.",0
8gpIZxJB,This is so outrageous he talks around himself like he doesn't want to upset his idiot friends. They have never had a plan except to keep talking about how bad Obamacare is,0
Y9Y6KFyC,Im in God's garden in Space,1
IBqnhhCh,I only hear this for sleep 😭,1
4YSV2Xyg,"Anyone here thanksgiving 2025 
👇",1
1p7nfEkn,This is cowardice. Cowardice from Cassidy and cowardice from Tapper for letting him get away with dodging these questions.,0
5uI0hYwx,Harika ve ilham aldığım bir kanal 🎉,1
OJWvvMx4,"Very nice & soothing, Dear thanks for sharing 🪔",1
j2rvE1wj,Happy birthday!,1
7GwyiJVN,Cassidy hIS BLOWN WHATEVER CREDIT HE EVER GOT FOR HIS HONEST VOTE ON IMPEACHMENT. NOW HE IS LIXKING BOOTS AND TALKIING UTTER BULLSHIT,0
6RxW7039,"The family of Hannah Poling was awarded $20 million by the vaccine court for you know what.....
https://youtu.be/YxfgqsZ8BV0?si=VYoElpCsDKRD5c-T",0
GFN4zbNJ,He worked on a Saturday! How nice of him!,0
RuwTGWkc,"Jake!! You let this despicable cowardice stand?!?!?
Cassidy abdicates his oaths as a doctor and an erected representative, refuses to man up and admit his vote to confirm Kennedy was a huge mistake, and you let this fool with zero credibility spin more BS that Repugnicans give a flying football about Americans' health and health care!!??. Jake, get some rest and come back with a little more fire.",0
GiqBgWsE,Anyone in 2026?,1
ayEEFrKu,"November 2025 check-in 🌿 who’s still healing with this? Wherever you are, I hope you’re finding peace and gentle days ahead 🤍",1
cq2HWGqF,Me too,1
snPAAeFG,Me,1
nLqypMOw,اني في 2025😭,1
auZ3BFkK,2025 8th Nov 12.32,1
qJu2SN47,Are we certain that this Joker is a physician?,0
bkBw017r,Been listening to this for 8 yrs this best sleep music to fall asleep to,1
g40DWzSg,"Cassidy: ""Ignore the guy I voted to run HHS and talk to your doctor.......""",0
aRits9K0,This is so relaxing 😊,1
zguSKKQz,"Another boot licker! Won't take responsibility for confirming RFK and putting an idiot - with no medical experience - in charge of our health policy! Cassidy: You don't get to take the out by suggesting that people ""check with their doctors!""",0
uIUj38aY,Bank accounts what a LOAD OF MORE BULLSHIT,0
b9GD5Xfx,❤,1
XcPu27E1,Any one here november 2025?,1
cJOZJHZw,Every trump supreme court justice lied in their hearings😮,0
CnqV8c1t,Here from steak,1
zEsCkDlK,"These have been RFK Jr’s views for decades. Cassidy LET himself get fleeced, & now the lives of American children, elderly folks, & other vulnerable people are on his hands. Just another Susan Collins saying she trusts Beer Boofer that he wouldn’t overturn Roe.",0
Gif9G69X,me a 10 year old,1
Up0msRcm,Free Sudan free Palestine,1
uuqDgeDN,"Vaccines with MR-5 HUMAN FETAL TISSUE CELLS FROM DEAD MURDERED ABORTIONS CSN NEVER BE GOOD YOU DUMB DOCTOR DEATH AND HELL.... NEITHER CAN VACCINES MADE FROM YOUNG BABY COWS BLOOD BE SAFE, SO YOU ARE FORCING RELIGIOUS AND OTHER PEOPLE TO BECOME CANNIBALISTIC HUMAN DNA FETAL TISSUE CELLS CONSUMERS AND DRINKERS OF COWS BLOOD... I DONT TAKE VACCINES, AND I USE HERBAL MEDICINE FOR ALMOST EVERYTHING... YOU ALL KNOW THE HERBS ARE FOR THE HEALING OF THE NATIONS... I KNOW HOW TO STOP ALMOST ALL SICKNESSES ON EARTH... I WILL NOT BE SCARED BECAUSE I DINT Lack KNOWLEDGE, AND THIS IS A WICKEDNESS...


VACCINES WITHOUT COES BLOOD AND HUMAN DNA FETAL TISSUE CELLS ARE NOT EVIL... BUT ALL VACCINES WITH HUMAN DNA FETAL TISSUE CELLS AND NANOTECH AND COW'S BLOOD ARE UNSAFE ABD WICKEDNESS... SOO YOU ARE DEFINITELY GOING TO BURN FOR YOUR EVIL... WHEN POLIO VACCINES WERE MADE IT ERADICATED POLIO BUT YOU DEVILS SAVED THE POLIO PLAGUES IN LABS AND NOW YOU SRE PUTTING HUMAN DNA FETAL TISSUE CELLS AND REJECT THE HENS EGG VACCINES BECAUSE YOU MADE UP ONE OR TWO SIDE EFFECTS, SBD USE THAT SS A JUSTIFICATION TO OUTLAW HEN EGGS VACCINES, NOW WE SEE ENDLESS REOCCURRENCES BECAUSE OF UNETHICALLY MADE VACCINES FROM HUMAN DNA FETAL TISSUE CELLS, VERY DISGUSTING BUT YOU DEMOCRATS ARE SOO EVIL YOU LOVE TO FORCE YOUR WILL ON MUSLIMS ABD CHRISTIANS AND OTHERS WHO HATES YOUR WILL FROM OUR OF satan pope pedophiles deep state alliance. you and your devils wickedness will never escape the Judgement",0
78gpyl0V,"What a beautiful video. The biggest problem with youtube is when you are listening to video that says: Relaxing, fall asleep, etc, you are suddenly woken up by loud music in ads with sexualized young people or pharmaceutical companies attempting to push their drugs on us all. Do you notice how much louder they get than the video you are watching? That is no accident.  Since I am very anti-consumerism, I find them all very offensive. I guess it is time to leave youtube once and for all. I just cannot take the invasiveness of it all.",1
w1dfFRN9,Your doctor you are supposed to do no harm. Clearly you have done lots of harm.,0
SxzSa25Q,"I had stress when Grandpa passed away, I couldn't study properly becuase of my stress, And this is the perfect music you ever want to play in your life.",1
278SuhRD,Not only do Trump and his administration need to be held accountable but his enablers need to also be held to account.,0
c5azpR3M,I  believe the question was DID HE LIE TO YOU!!!,0
2L4y2ALd,Yea true 😝,1
yoVq7oBf,This has been out for almost 10 years and this is still one of my favorites. I downloaded a copy thank you.,1
8jqrFf9B,So beautiful video and music,1
hka3vTld,Love it,1
16FenTEz,"What a cowardice pitiful spineless politician.  A disgrace to the medical profession.  Refuses to take ownership of RFK’s appointment to HHS .  Cassidy is vicariously responsible for the rise in measles outbreak not only in Texas, but his own state.  He was hell bent getting back into Trump’s good graces after voting for his impeachment in 2021.  Well that will be his legacy… not healing, but disregarding his Hippocratic Oath.  Come on Bill grow a spine and take ownership of your professional and political malpractice!",0
JpIQtco0,Covid vax was not safe to the compromised. So GTH. Government did not pay out at all in Canada.,0
jUBHOQWX,Yeah I think I was shining,1
gAXeUcZY,Sen Cassidy's state (Louisiana) has one of the lowest vaccination rate in the country. RFK isn't going to increase that rate!,0
lAA9k8K4,This is so calm I found peace and joy for a moment,1
oWVNwTOf,Hi,1
smhIjRuP,"I am having panic attacks and i am listening to this and reading the comments!!
I feel a bit okay",1
qLuZsYr7,Barbara life is precious and IAM sure many love you.Pkease talk with someone about how you are feeling.Sending love to you Barbara and peace of mind ❤️🙏,1
UaxCegD5,This comes as quite a shock. I never would have expected this from the Kennedy that got dropped on his head as a child. He should be studying the connection between heavy drug use and the belief in secret decoder rings and conspiracy theories.,0
BRsHeHaS,A mesma repetição constante. Assim fica péssimo.,1
EORVasOD,I'm sure ita been said so many times over. But this ass clown was the vote to approved him thats how we keep us safe. Gawd what a tool,0
aqtdZ60d,So safe that u people have to constantly advertise it.... If it was safe u wouldn't have to. U would have loads of people lining up to your shitty poison,0
KEqePW55,😊,1
Mo1v4gSR,"make peace in my mind, relax and free me after all day long Thank you very much <333",1
J5ZMgt9e,Hey I have an idea! What if insurance companies took less profit?,0
plpsowsi,You betrayed the hyppocatic oat.,0
dnPb2H0j,"Yeah, Jasmine's here.",1
1fK1qxQg,You look both Latina and hindi😅 which one are you ?,1
a0iBSjFg,This is so relaxing❤,1
j5cLTO8Q,"I wish I can be friends with everyone in the comment section, everyone is so pure and kind. There’s not a lot of people out there anymore like you. Thanks for this so much 👍",1
Xj4z9dB1,🍃🍂🌿💨👃,0
25hlWgp5,"does cutting research and funding as well as people working in the NIH ""Making America healthy""?",0
wXHQ6Ar0,Shame shame shame Cassidy. Stop trying to push the whole “trump says it’s safe”. Trump also put Rfk in charge and you backed it!,0
XQZvpR6V,Wait..... You're saying that they are safe?!?!?!!?!? Hahahahahahahaha,0
Sw5JGemk,Great insights here.,1
EeT5BpeC,"Sen. Cassidy won't condemn Trump's RFK Jr because
he rather endangers children than upset Trump. 
He'll burn in hell",0
TKJexd8Q,He doesnt want you to say something negative....he wants you to say something fu..king honest.,0
GhyYYS9F,Yy,1
x4M4DjzE,Medical savings accounts don't help. His bill doesn't control costs.,0
ut0a0hZp,"I make psychedelic, calming Eastern-inspired music. If you enjoy this vibe, feel free to stop by my channel and check out my latest track. Hope you enjoy the journey",1
R05MROQr,"ENOUGH with YOUR LOT OF BULLSHIT ARTISTS , must we get the PICKFORKS OUT to GET YOUR LYING ASSES OUT",0
z4VwgPWp,Republicans just have nothing to help the people by 2026! It's all garbage!,0
nTph2tZ9,"This is how bad it is. We i the uk and also.in most of europe has had to put out warnings, that people must ignore and disreguard any medical.advice coming from the american government and rfk. 


Hiw does that make you feel that the rest of the world has to put out warnings to ignore  your insane goverbmen",0
HqvzJm25,He said the most important thing there are some things that are more important than ideology,0
Z4hdIrnl,"What’s wrong Jake? Sir, we don’t get you on here as a father, brother, physician. We get you on here as a Senator. Do your job!!’",0
1D0glIEC,Any one here november 2025?,1
DdcO0mRB,"The premiums are the problem not the deductibles.  $30,000/year are the premiums for 2 people on a bronze plan.  Why did the GOP and Trump administration not come up with a plan before they  destroy ed what’s available.  BTW you through the American people under the bus when you voted to approve RFK Jr.",0
huxiVgWi,yawned as soon as i clicked the video,1
O8W3cmHF,Imagine playing this then ads comes in,1
VgtdCYSg,No he was correct.,0
QA5Azl6o,Im here every day ✌️,1
G0ZtUqUj,"Sen Cassidy should step down. He didn't honor his oath as a doctor and senator. Cassidy, people are going to die because of your politics. Step down.",0
ksXG2gaP, @SumonKumarBiswas-j9p  22 November,1
0OLxe4pl,very relaxing music,1
3EMOdLVG,Anyone here november 2025?😊,1
lY1PIsRt,works well!!!!,1
RAQAHGZA,🌻 I can't stress enough how relaxing this guitar playlist is! It's perfect for study sessions or work breaks. Highly recommend 🙌,1
Rx2HXBx5,"Yes, what matters is making America healthy. That means getting rid of a man who sits at the highest position of power in our country’s healthcare system and has done nothing but undermine real medicine with junk science claims. His actions are causing deaths to Americans of all ages.",0
Glot2upo,"مرحبا أنا الفتى المصري الذي يشبة هاري بوتر قولوا للجماعة بتوعوت رولينج و الجمرة الخبيثة اللى عندكم هل صحيح أن دماءكم تحتوي بداخلها على نسبة من العنصر الذي تريدة وتبحث عنة كل دولة ؟؟ أقصد الغاليوم 🤥 😀😀😀
🤣🙃 .. قولوا لهم أننا نحتاج ذلك العنصر وقولوا لهم أن يعدّوا أنفسهم 

🚑➕⛑️📋💉🛑

🦊⚡  🔥🍤🍤🍤🔥",0
U184TmdO,😂😢😂🎉🎉🎉😂😂 26:19 26:21 2025 26:42 26:42,1
KLKvvTpU,Henry Ford was a Nazi sympathizer.,0
phNXZpIy,Republicans don't care one bit about Americans healthcare prices,0
e1oXQ6kw,And it's nonsense responses like this as to why American politics isn't based in facts.,0
84xsq2NJ,I admire your creativity.,1
5KmuTqqG,Have come back to this video for years. Still the best sleeping music out there for me. November 2025,1
wbZIhAQ7,Dr Cassidy is such a coward,0
chLNd5xO,December 2025 anyone?!?!,1
GbOUTDty,Dont play it on 2x speed💀sounds like ghosts,1
GF9QGVAM,JFK Jr. Is a hack.,0
aXK0UTcE,"Ate too much myshrrooms 😅
This will pass 😅
Soon? 
Ha",1
KKV1amdW,😞,1
zSgw7Hug,People who go to sleep quick with this,1
AYKvkW9g,نعم..,1
7j2xNEYG,Did the vote yes for the BBB? So who really cares about Americans health care 😂,0
R4otmEwe,Πανέμορφο βίντεο ηρεμί την ψυχή και το νου. Η μουσική σε ταξιδεύει σε μαγικούς κόσμους. Ευχαριστώ πολύ. ❤,1
gvGukn7j,"Why did he refer 5 times to President Trump? Is he a doctor or maybe a public health scientist or a vaccine expert?
Did RJK have any plans on reducing the cost of healthcare ? I think this is not the reason why he wants to be a secretary HHS?",0
dkVrB8Re,"A completely feckless and impotent reply from a medical professional. People will suffer and die as a result of Cassidy's inaction, and he couldn't care less.",0
928ucHTc,"There has never been a single study done that compares the health of the vaccinated with the unvaccinated.  When they do a ""placebo"" study on vaccines the placebo is a different vaccine, not a placebo.",0
m5M9jrQn,Such a calming and immersive experience — my brain thanks you!,1
vARL6sm3,"How about instead of these petty attempts, how bout go after the hospitals and insurance companies and come up with a fixed-rate system.",0
Wbx5yvIY,"Get rid of him Louisiana,  he sits on the board for Health ,education,labor, pension committee..$$$$$$",0
an41CSBg,Wanderful!,1
3xW34BHH,All he could do was deflect. He needs to lose his seat. He is responsible for RFK Jr being in this position. People will die.,0
c0t0owng,MAGA Maha,0
axifJ6Zf,❤from🇵🇰stay strong,1
Y1kmjGJS,This guy doesn’t admit mistakes and then correct them. Not someone you want making decisions for anyone.,0
okvciPTD,"Absolutely beautiful atmosphere. I create similar calm & rain piano music too —
this vibe inspires me every time. ☔🎶",1
T7nRB0Nu,:face-red-heart-shape:,1
7TEEPtxn,"having anxiety about something happening to my mom. these thoughts often keep me up crying, anxiety is so debilitating!!",1
UAADEPyL,Anyone here 5/11/2025,1
ZCVXLSig,Just one more completely spineless Republican,0
pyBFl473,Hi I am from 2030 anyone  like me 😉,1
jbunOkC7,The next leader America elects needs to sign a bill that every single American gets yearly vaccinations and boosters for all vaccines available. PERIOD! These uneducated Republicans are insane.,0
nDksfCNz,Yeah,1
QG5qV0Rl,"Coward, gutless wonder, a disgrace to medical profession",0
Py8EZgn2,"I'm trying towrite this without sounding cheesy
But when youre so stressed that you feel like you cant even afford to sit down and breathe for 5 minutes, that's when you take a break because it will give you the energy to manage everything. You need clarity.",1
V83VNSwg,Cassidy has hereby stopped criticizing anything and everything. It's only he said she said anyway. So don't ever let us hear him criticize anything. Then he criticize Biden. What a joke. Go home!,0
E8EmgNNb,Está buena la canción pero dura mucho❤❤,1
5knZs7YF,November 2025 😌🌱🌱🌱🌱 thank you for your relaxing music ! Musicians with music we can change our world to something peaceful without hate and peace ✌🏼😌🌱,1
bmQJ7pqL,now i can do home work,1
qqRdeZOK,Then why isn't he as an MD running the hhs etc and Kennedy out?,0
jrIrODPO,"That's the problem you clown, RFK is disputing it. What do you not understand?????",0
WCtAYfq9,Hlo everyone,1
l3w6h7Dd,This video is so calming. The atmosphere feels exactly like the kind of cozy vibes I want to create too. You did an amazing job.,1
Pu5HBQfo,The shame of the Kennedy family.,0
F01jmGdG,Everything goes right believe yourself,1
TRCx69a1,Yes I'm here on this November,1
ZZoYVhYu,This guy IS the problem and too smug of a jackass to Anny up and apologize. For being a jackass. Worked with doctors for 27 years. A damn shame his parents wasted a half million dollars and 15 years of school after college…should have just burned it….,0
2WfGqaNI,November 2025,1
Jmq8eXzY,"I don't know what it is about this song, but it makes me feel like crying. It evokes something in me that I can't explain. Anyway, thank you for this.",1
nOS87L3c,😐,1
xzgRKzyy,Bot,1
1eFgTmTb,🎉,1
vKabyCyR,The green party of the United States has supported universal free healthcare at the point of service funded by taxpayer money for years.,0
RP6AqXob,This guy is from Louisiana?  He doesn't sound like Louisiana.  How did he get voted in?,0
k1MHAu4G,It made my daughter relax and her pain was gone she is slowly falling to sleep,1
I69J52O6,Hi,1
t6NSnUkq,The best is yet to come ❤,1
61MGhw8X,He went in circles so many times I got vertigo 😵‍💫,0
51CT4X3l,🫶🏻🥹,1
JxhU78js,Hi,1
7CoJbOXj,"So will we each get $50,000 for healthcare.  This plan never says what it will pay people.  If it’s $2,000. That is not enough to find a plan and pay for the monthly premiums.",0
o8hDuMCr,Any one here 14-20 November 2025?😮,1
MkgcK5vF,"Cassidy needs to GROW A SPINE. Cassidy let RFK Jr in, and American children will suffer the consequences of   misinformation and negligence.",0
wsDjmOCB,Meely mouthed Senator spending several minutes not taking responsibility for his role in putting this nutcase in charge of our health care system.  He knew his oath included at least doing no harm.  Voters should all remember this cheap politician on voting day.,0
HsE3nNO8,anyone here 11 November 2025？🎉,1
4oIgLXIt,“Beautiful sounds! I’ve just uploaded a similar 4K relaxing nature video on my channel — would love if someone checks it out 🌿”,1
qtl1sfgI,محشررررره🩵🌈,1
gnKf9Yly,"Hi everyone, just wanted to take a moment to let you know - You are really very amazing in your own way. Be yourself, don't take stress upon what others will think. Just be kind, strong and healthy. People who pokes you for no reason, they will get screwed up eventually in their own lives. Keep distance from such people and focus on yourself. You are not alone, we all are together to help each other. ❤",1
eqYeiZuU,Anybody here 2026 if you're reading this comment it is not that year yet but when it is 2026 I wanted to like and comment❤❤❤,1
UcaBfDzD,Absolutely loved it.,1
1Nv9ryKc,"Very nice. Starts out slow, no crescendo….. not sure what happens in the middle as i was a sleep fairly quickly. Nice. Perfect. Favorited.",1
XlQGqz2H,How much human crap stains joining trump putin jinping on sea floor in pacify Kraken now?,0
FaoFZIWL,My parents’ lowest cost bronze plan in our rural area is 2900/mo.,0
vgsF2Xdf,yes,1
myU0Sw2x,❤,1
IbCiXszh,The best,1
DT2h4Td9,So he's the reason we have this whole nut job. What a dumb ass. He doesn't care if American are healthy.,0
pUCGWwkA,This track’s vibe is so chill and atmospheric  really perfect for relaxing or deep thinking.,1
S7kAeqjl,You should be bowing your head in shame not smirking. This ridiculous bullshit is your fault. Yours and every one of you idiots that voted to place the world’s dumbest jackass in charge of our health.,0
xlOYYJzw,Cha gpt me trajo aca,1
a2vgFpnH,"Here in November of 2025 and Erie, Pa and remember Cherish Every Moment ❤️",1
pa1A5dK2,Elle est bien,1
29PTB7gm,5:28 The best action by RFKJr is dismantling the corrupt group of individuals at the FDA and their numbed bought betraying AMA.,0
eGV9di8f,If trump believes vaccines are safe why did he nominate a guy who is a KNOWN vaccine skeptic and changed information related to peer reviewed studies on the CDC website? All these sycophants do is defend the indefensible things this president does.,0
w4hZzQbc,November 2025…,1
qWXCrfNF,See they never apologize for their ignorance or should I say intentional ignorance.,0
OEDQGkqt,No.,0
8pr5Ks4X,Wow  hoe dan🤷‍♂️❓️🤫,1
P4bachRA,Çok güzel,1
4rF1BCyP,Step down Cassidy,0
ypki7OBn,"Dag this dude just saying all kinds of bs. They won’t do better in health care. You want  to take care of health care? You need to have the super rich and rich corporations pay their fair share, problem solved. You know this doesn’t take a genius to know this.",0
5hmcPqJP,Seek peace in your life and purge all negative energies 😊🎉❤,1
6TGnpx1j,Sgsvtsfsdg 🗺🧭✈️🌚🌒🕘🕔🕠,1
6CIc3O3j,This man is liable for ever child death that brainworm freak causes. So that's 2 and counting so far. Murderer !!!,0
0PLxRuuK,"That was really uplifting and powerful your energy and clarity are so strong, and the way you delivered your message really inspires me. 🙌",1
e5dbAHtx,The good doctor’s answers are rather bizarre in light of the proclamations of the new CDC…WTF….,0
WTU7NuSm,"After the tirade on Tylenol segment during Trump's ""Cause of Autism"" variety show, he went on to tell folks how they should break down their vaccine dosages/combinations. Is that legal? I mean he is giving medical advice to the nation specifically based ""how he feels"" and those are his words.",0
45bw1isP,Zero accountability...,0
f7W3KkgU,Me!!,1
HfqeRqZt,"I want you to remember that everything you have been bothering right now will pass. Every struggle, pain,  brokenness ,weeping and hindering will stop . Financial breakthrough, healing and success  will overtake. Trust in Him 👆",1
va0wW4em,This sound feels like peace itself. 😍❤,1
OdyM5wxw,Coward.blood on your hands,0
1Z1eVWUc,❤❤❤❤❤❤❤❤❤❤❤,1
wVh9y7VM,Why do babys in America have hep c vaccination = MONEY,0
ekopdgGr,RFK lied to you is a yes or no answer.  Tapper lets him off the hook,0
eMJfyQSk,''How do we make America healthy?'' Get rid of Trump and JFK.  Cassidy is a doctor and yet he voted destructive JFK into power - as a Republican he is willingly destroying health care for Americans.,0
Nl6cu6O6,Trump never said they r safe stop lying,0
K64g9mhh,الحياة متعبة😢,1
2lmXWH70,Embarrassment to the country,0
SecOL2c6,"he gave the needed vote to push the confirmation so spare us the clean up act Sen Cassidy!!!!! This whole administration is a whack job, period!",0
CZjmXu22,"ଚୀନ ଦେଶରେ କୋଣସି ଜିତି ଧର୍ମ ଵେବସ୍ତା ନାହିଁ 
ସେମାନେ ଦ୍ରୁତ ଗତିରେ ଆର୍ଥିକ ଉନତି କରୁଛନ୍ତି 
 ସମସ୍ତ ଭାରତୀୟା ମାନଙ୍କୁ ଶିଖିବା କଥା 
ସେମାନେ କର୍ମ ଉପରେ ବିଶ୍ୱାସ କରନ୍ତି",1
qNOAhNHV,Ta myśl. Wraca każdego dnia 😔,1
7D4maDEj,L😊,1
atDf7W2n,Hello,1
G9eRM0TG,"Waste, Fraud, and Abuse: RFK, Trump, Musk",0
X1DPBlkQ,It's a beautiful thing to watch the dumbasscraps fall apart!  Hilarious,0
uau00iX5,I’m back and I still listen to this ❤😊,1
vLj36N0q,3 novembre 2025🎉❤,1
oFsloThb,"🥀 https://youtu.be/iSOKTJo3IHI?si=ikMZTfzi9Vm9J4Va

https://youtu.be/PUwSCS_JfXc?si=SUF-aKrDJ3VEHzrC

https://youtu.be/TzuxKmFk9L0?si=iVulUwkZkuXJFWNK",0
ZzVjoSvv,"Wow. Lies. Lies. Lies..vaccines are not safe! Please wake up people. Read a vax insert. Make pharmaceutical companies liability happen. Informed consent! Dare you to Read ""TURTLES ALL THE WAY DOWN. I can't stand the willfully ignorant. Follow the money CNN! Actually research this and do some real reporting.",0
tMKfTGil,Coward.  Should have his medical license revoked.  He did harm.,0
b2bh2SVH,November 2025 😊,1
JKCiZhhe,"Thank you i have a long day that what i lookin for, Calm and peace",1
z5Kutbx1,HE SAID TRUMP BELIEVES ITS SAFE SO NOW IM SKEPTICAL LOL,0
YfvxViVn,"I'm blue and liberal as they come so this is not an ideological perspective. Jake Trapper's interview with Sen. Cassidy was one of the worst demonstrations of journalistic integrity I've seen for the number of below belt cheap shots someone can take. And for what, to stir up drama and conflict for the sake of ratings. You can't talk about lowering the tone on political rhetoric and then turn around and stir the pot with interviews like that. Shame on you Jake for being a hypocrite.",0
bEJEaaDd,Peace 🕊️,1
18giRNSS,"Bonjour, j'aime beauoup",1
cMYversN,Support Dr Cassidy!,0
vAe9utLg,I don't have friends.,1
UGX5dDqg,I am,1
tkNjWZb2,"just stay calm, relaxed. and dont forget to be kind to other people and spread that kindness, because i know that your life is great one and will continue to be a great one",1
m1rRLF8u,"GOP Concepts of a Healthcare Plan: 1854-2025
""Go find some insurance in the profit driven open market of greed, Welfare Queen Commies. We'll DEREGULATE that market to give H.C. providers the FREEDOM! to charge WHATEVER they want and PROTECT them from lawsuits. #RuggedIndividualism #Bootstraps""",0
qEpH05FJ,"Ahhh, yes...  the 'old trickle down effect'.
Fund the rich, the conglomerates, big pharma... and they'll look after the little guy.
Sure. That works.

THIS is why the GOP are responsible for 9 of the last 10 recessions. They have NO IDEA...",0
Mg0kwXx9,The ads are not relaxing get them off!,1
i7QtCyXg,Somehow this playlist chill song makes me angry idk how,1
ZZ2hfJqa,Hi Boris the delusional Commie of Putin 👋 😂,0
qKSv29w3,"Laken Riley 
Corey Comperatore 
Charlie Kirk 
Semper Fidelis",0
48kkvlJZ,"This song kinda feels sad, but I wish I could visit those places in the video:( it's ai isn't it and those pick your room shorts are so peaceful😌😌😌",1
H8LYWatS,"Are you worrying about anything? or being stressed? 
Don't worry babes everything is fine🩵🫂
you are the best in the world bestest you've ever seen 🤍💫
Don't cry or be sad
I'm always here for you🫀🫂",1
j4NAVR15,"Pure magic! This instrumental speaks directly to the soul, proving that music alone can be more powerful than words.",1
zaQaxk80,wow,1
LNObXMVu,Yooo GG W Music,1
iMcsFCvh,Jake Fapper 🤡 News Network reporting,0
9FoUts5Z,موسيقى رائعة شعرت أنني سافرت بعيدا لعالم من المحبة والسلام❤❤❤❤❤❤❤❤❤😮😮😮😮😮😮😮😊😊😊😊😊😊😊,1
tguDPsCu,life is short and you and yours had better make the best of it.,1
EonaGqDk,"These people lie in their confirmation hearing all the time, no surprise here !",0
SimmojLs,"Whereas I would like to know from CS guys of there's such a thing like that of search in page in text files could there be search console even for comment section to Users on front-end i.e. Client-Side Scripting: JavaScript, along with frameworks like AngularJS and React, powers the interactive elements of YouTube’s web interface ????

Above question always make me think while noticing few important comments to note but couldn't (Assume that I'm not a developer while traveling to workplace by means of bus found some meaningful debate on news channel with thousands of users expressing their opinions in comment section while scrolling noticed sound statements whereas leaving off with bus reaching destination couldn't checkout when returned back home reminded to playback the video wherein twice or thrice comments were added to previous and unfortunately couldn't sort out those comments at Top/Newest, as a non-developer of redaction but normal how to pick up those odd ones out without scrolling till I found them ???",0
h5C4cqsO,"Cassidy should face consequences for destroying our healthcare with his vote allowing RFK in charge of our healthcare, now talking about “principles “ trying to back track, his constituents need to confront him, vote him out! Take his medical license away!",0
vsWaXv7z,Cassidy and Barrasso both need their medical licenses taken away for allowing damage to the American people.,0
txBVRD3A,"I am sick of the Media Lies and this Phony Physician. Vaccinated kids get the Measles. Just like Covid Vaccinated individuals got covid. There was no clinical trial data looking at hospitalization or death for any vaccine. The FDA handbook for communicating risks and Benefits say we are to be told the Absolute Risk Reduction for any Vaccine, and the potential side effects. That risk reduction is less than 1 % for covid and less than 1.5 % for measles. That means it overs protection for less that 15 kids per 1,000 vaccinated.",0
FooM2c5h,❤❤❤❤❤❤,1
tCx4L2Xc,very natural views videos,1
Dkl5DMIa,Thank you for your kind words wish you the best,1
vp18ghLh,Trump created covid,0
tSiuGZtu,It’s great to fall asleep to.,1
2clXj7La,i like,1
II9U69sS,"잠오지 않을때 들으면 딱일것 같네요
고운영상 감사합니다",1
w5MmNQcz,"A lawyer ..is he practicing medicine? 
Does he know more then Doctors..?",0
3pgpzQnZ,I just want better grade and looking,1
ONbomeNx,Thank you Jake! Great interaction 👍,0
QNsHMXQj,Senator Cassidy... Acknowledge the lie. Call it out and do something about it.,0
be7AGkyd,Anyone dealing with Tinnitus?,1
wrRY4oxz,"Anyone who states that ""the science is settled"" really doesn't understand the process. However, if we are referring to science as a proper noun, we simply need to ask Dr. Fauci 😉",0
9e2dKXfV,"I LOVE this,it makes me so calm and it makes me so sleepy.Please try it!😊",1
dcXoECLF,Dobrou noc z Česka,1
