text,eticheta
"Public universal healthcare,and those on the fringe who don't take meds, blood transfusion,vaccines-let them and in ten twenty years roll out data that reflects higher mortality and illness for this fringe pop. The only way out is to go through.",1
❤,0
"Does anyone know where THIS BEAUTIFUL GREEN SPACE IS that is the cover photo? I would love to visit it, and sit by that pond for hours, even if just for one day out of my life. SO BEAUTIFUL.  I hope everyone listening to this finds the peace they are looking to find.",0
I'm here all the time,0
These Alpha waves are a game changer for deep work. My brain fog cleared right up.,0
Senator Cassidy... Acknowledge the lie. Call it out and do something about it.,1
Anybody here 2026 if you're reading this comment it is not that year yet but when it is 2026 I wanted to like and comment❤❤❤,0
48:29   ik  snap het niet     😢 49:12 😢🤔 49:50 🤔sorry 😞 😔,0
"DID RFK JUNIOR LIE TO YOU??????

ANSWER V",1
Anyone here in April 2026?,0
"If anyone ever asks about how complicated our health care is, show them this",1
Go cry in the corner Lefty's..,1
"The family of Hannah Poling was awarded $20 million by the vaccine court for you know what.....
https://youtu.be/YxfgqsZ8BV0?si=VYoElpCsDKRD5c-T",1
hello,0
Saying no to minor castration is good,1
"not Sunny of course, that's outta Bucks like Enormousd",1
Crazy ass nut case,1
"Dear everyone who reads this, we don't know each other but I wish you all the best in life and happiness.",0
I get all my facts from CNN and Jake Tap.....   LOL,1
Thank u finally my child is a sleep from on her iPad for 10AM,0
Bill Cassidy is a traitor to the medical profession and to the human race for allowing RFK Jr to get confirmed.,1
Embarrassment to the country,1
waw,0
"Laken Riley 
Corey Comperatore 
Charlie Kirk 
Semper Fidelis",1
"He didn't respond to the question about JFK lying, Jake, and you didn't call him on it.  What the hell is CNN doing???",1
Cassidy is piss weak. How much sucking up can politicians do? Cassidy should be removed.  Or alternatively make a public statement slamming this f'wit RFK.  Buy a billboard or 100. Take out some ads. But make up for this or leave the job you idiot.,1
Democrats drive up healthcare cost and somehow republicans are required to fix it. What a joke.,1
"Senator Cassidy knows better. He knows that CDC guidance is recognized as the gold standard—not only by organizations across the United States, but by governments around the world. Yet he exploits American ignorance and narrow-mindedness to evade accountability, all while kneeling to Trump and sacrificing our nation’s reputation and integrity. He's a coward for not owning his BS.",1
Yooo GG W Music,0
Then why isn't he as an MD running the hhs etc and Kennedy out?,1
"So sad and embarrassing trump administration has simped the republican congress, makes perfect sense he’s a legislator from Louisiana",1
What a chicken!,1
"What a beautiful video. The biggest problem with youtube is when you are listening to video that says: Relaxing, fall asleep, etc, you are suddenly woken up by loud music in ads with sexualized young people or pharmaceutical companies attempting to push their drugs on us all. Do you notice how much louder they get than the video you are watching? That is no accident.  Since I am very anti-consumerism, I find them all very offensive. I guess it is time to leave youtube once and for all. I just cannot take the invasiveness of it all.",0
Cassidy is a hypocrite. I lost all respect for him when he capitulated to RFK at the hearing. He is just another MAGA HACK,1
"I wish you the best too, you have a big heart and deserve the best 🖐️💚",0
"Wow. Lies. Lies. Lies..vaccines are not safe! Please wake up people. Read a vax insert. Make pharmaceutical companies liability happen. Informed consent! Dare you to Read ""TURTLES ALL THE WAY DOWN. I can't stand the willfully ignorant. Follow the money CNN! Actually research this and do some real reporting.",1
😊,0
There is no proof either way.,1
N Jake just lets the brown-noser kiss Trump’s arse again and again.,1
الحياة متعبة😢,0
The best,0
You betrayed the hyppocatic oat.,1
Hi,0
"The fact that he kept on saying and Donald Trump agrees, just tells you where is mind is at, it's all political at the expense of the American people for a qualified Dr to be the breaking vote to confirm RFK is a shame and he should resign out of shame for that alone.",1
"Democrats: “believe the science”.

Also Dems: “men can get pregnant”. 🫄",1
"Hi! From Tunisia 🇹🇳 
☮️peace&love🤍",0
"Dear you, who reading this be easy with yourself take it  one step at time, even if is tiny! Step...  Eventually, the bucket will be filled.😘",0
"To anybody reading this, I pray that whatever is hurting you or whatever you are constantly stressing about gets better. May the dark thoughts, the overthinking, and the doubt exit your mind may clarity replace confusion. may peace and calmness fill your life.",0
This lands low in the body — like a hum. I just finished a small piece with that same vibration,0
Speaking as a physician!!! He put his personal interest ahead of his patients and constituents. He is a disgrace to his profession and should be stripped of his license,1
"Kiwiaiuijkm I will do that with you in my heart ❤️ you know what you mean to see 👀 and your body and your face are so.      

Edit:my little brother said ts",0
Me i am one month till christmas🎉🎉,0
Another example of GOP cowardice,1
"Too bad Cassidy is just another sycophant in the end.  He's supporting a rapist criminal president and he is too cowardly to stand up STRONGLY to this administration in order for things to change.  Why can't he get his ""fellow Republicans"" on board?  Does he try?  It's impossible to respect any of these people who allow this rogue president loose on the public in every terrible way.  Cassidy is still a sycophant.  Why are conservatives so cowardly?  Because they're cowards.  They don't want death threats, so they should resign.  Plenty of democrats get death threats and have no protection, but THEY don't back down.",1
Cassidy and Barrasso both need their medical licenses taken away for allowing damage to the American people.,1
This is one video relaxation soothing sound I can listen to daily and nightly after busy days!!!,0
59:05 wow al bijna 🎉,0
Trusting a guy that eats road kill is probably a really bad idea.,1
And once again scared off answering the questions. Please people vote this fools out because they are the reason why we have crazy people on important positions,1
"I started a new ritual today, and I used this video as my meditation music, not knowing how calming it was going to feel. I have not felt this relaxed in so long. Thank you for this upload!",0
Cassidy betrays his medical profession and the voters electing him. He knows full well RFK Jr is a nut job but stands by watching RFK Jr knifing the CDC and spreading those crazy vaccine lies.,1
Awesome for getting you to unwind after encountering a lot of stress. I am really struggling now and need help.,0
😍,0
"Turns out vaccines don’t cause autism, the Kennedy family warns people against RFK tells you everything. All these politicians backpedaling in rhetoric after cutting healthcare giving tax cuts ultra wealthy all because midterms are coming.",1
RFK lied to you is a yes or no answer.  Tapper lets him off the hook,1
I'm here thanks 😊,0
"People don't need a bronze plan, then need the same plan Sen Cassidy's has.",1
"These have been RFK Jr’s views for decades. Cassidy LET himself get fleeced, & now the lives of American children, elderly folks, & other vulnerable people are on his hands. Just another Susan Collins saying she trusts Beer Boofer that he wouldn’t overturn Roe.",1
 @SleepTightBBY  happy Birthday bro,0
Who cares if he thinks trump thinks they’re safe? He also thinks we can clean are blood with bleach. RFK knows less than trump medically. Please get your vaccinations! 💉,1
yawned as soon as i clicked the video,0
"A lawyer ..is he practicing medicine? 
Does he know more then Doctors..?",1
Anyone here November 2025?,0
 @emilys7792  maybe🤭,0
thx....,0
the rhetorical lengths cassidy is going to in order to NOT address the simple question posed to him is very troublesome. dude doesn't want to be caught on camera admitting he was a damned fool to give a snake oil salesman and medical charlatan with no professional background in medicine the green light to head the CDC. goes against every principle for which himself stands as a doctor. gross. this whole administration and its legislative arm in both congress and the senate are absolutely gross.,1
Very nice music,0
SUCH A F’ING COWARD. He is responsible too.,1
"Hello from Friday November 14th, 2025....This weeks been long, im sure it has been for you too, but this sure hit the spot tonight to wipe my mind of all my troubles, hope you sleep well.",0
"I think if everyone had this in their ear all the time, we would all be happy and nice to one another!",0
❤❤🎉🎉❤❤,0
спс мне очень нравиться я хорошо концентрируюсь с этой музыкой!,0
This has been out for almost 10 years and this is still one of my favorites. I downloaded a copy thank you.,0
11.11.25,0
Here I Am ❤❤❤,0
Anyone here november 2025?😊,0
Omg this is biurifool😊,0
This track’s vibe is so chill and atmospheric  really perfect for relaxing or deep thinking.,0
"I close my eyes, and it feels like I’m flying above all my worries. Beautiful piece!",0
"Just say it, you want to maintain your Senate seat, and you voted for RFK for Sec HHS, to avoid a Trump-backed primary challenger.",1
"Use gun , not syringe , on this moron",1
👍🏻,0
So there’s nothing negative about what JFK is doing you talk out of both sides of your mouth,1
Any one here november 2025?,0
"he gave the needed vote to push the confirmation so spare us the clean up act Sen Cassidy!!!!! This whole administration is a whack job, period!",1
Super relax music🗿,0
"hello ,  thanks for the music .",0
I love this,0
"So, $1k in health savings when you have $4k deductible….. oh thank you, I will still be out of pocket of $3k.  Does this guy understand math??",1
Hey I have an idea! What if insurance companies took less profit?,1
1:16:59,0
What is most important is that you stay loyal to the cult. You are insulting the American people by not calling out this nut. And let’s be clear trump believes in money and trump period.,1
Bot,0
"Get rid of him Louisiana,  he sits on the board for Health ,education,labor, pension committee..$$$$$$",1
The shame of the Kennedy family.,1
I put this song and my chick Sleep fast😂,0
Wow ..  great ❤❤❤❤,0
The green party of the United States has supported universal free healthcare at the point of service funded by taxpayer money for years.,1
Anyone dealing with Tinnitus?,0
"I am sick of the Media Lies and this Phony Physician. Vaccinated kids get the Measles. Just like Covid Vaccinated individuals got covid. There was no clinical trial data looking at hospitalization or death for any vaccine. The FDA handbook for communicating risks and Benefits say we are to be told the Absolute Risk Reduction for any Vaccine, and the potential side effects. That risk reduction is less than 1 % for covid and less than 1.5 % for measles. That means it overs protection for less that 15 kids per 1,000 vaccinated.",1
Imagine playing this then ads comes in,0
Any one here can talk with me bcuz I don't have any one to express my feelings,0
"Sen Cassidy answer me this. Ths admin and RFK says vaccines cause autism but they also say tyronol causes autism. So which is it ?
Is it vaccines or tyronol?  It cant be both as tyronol is not a vaccine.  How about neither cause autism. Also if God exists he made autism so why are we trying to stop gods plan ?",1
hi everyone how are you doing today how many times does it is But i'm going to take the rotors to my mechanic and see if I can use them le num isi buxal xala innih ma tan Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta baaxo Qafar ummatta 41:10 41:11 41:12 41:12 41:12 41:12 41:13 41:13,0
Glad you're not my doctor!,1
Why can't this spineless coward actually denounce the brainworm?,1
"RFK Jr just changed CDC to Competency Difficiency Center.
Just stick with your doctors for medical advice and opinions folks. No one working for Trump is competent with anything.",1
Period!!!!!!!;!,1
"If this health plan  is so great and was created so quickly, why was it not done in trumps first term or there after?  trump has always been against anything with Obama's name attached to it.  They did not have a plan back then and I doubt if there is a reliable plan now!!!",1
Omg this relaxing helps ALOT RELAX my mind and body and tension!!,0
I got so relaxt I couldn’t studi,0
Henry Ford was a Nazi sympathizer.,1
"Bill Cassidy and Jake Tapper would do anything to censor future microbiota-gut-brain research related to vaccine injury. 
https://www.youtube.com/watch?v=CgSzvWk10II&t=1050s",1
Im still here each and every night 🌙 ✌️ 🥶,0
"You're misinterpreting the data. If 2% of people in an unvaccinated control group contract COVID-19 and only 0.4% in the vaccinated group, the absolute risk reduction is 1.6 percentage points (2% - 0.4% = 1.6%). The relative risk reduction would be significantly higher in this case (e.g., 80%).",1
Yy,0
Any one here Nov.26,0
MAGA Maha,1
This made my whole day  thank you!,0
Free Sudan free Palestine,0
HEY JAKE: When does your book on your coverup of Trump's decline and dementia come out?!,1
I probably listen to this a million times! It’s really relaxes me.,0
1:00:02 wow  1:00:02  in mijn bed 🎉🎉🎉🎉🎉🎉 1:01:15,0
How would anyone take any plan this clown puts forward ? He is as unserious as it comes. Joke. Vote him out,1
"He urges families to do everything they can to take care of their families, but he isn’t. He isn’t doing his job.",1
Any onr here November 2025?,0
This music feels like a gentle embrace for the soul 💫 So soothing!,0
Why give an infant an std vaccine?,1
Embarrassing and unserious person,1
The comment section is making me cry😢😢😢😢😢,0
He’s full of shit,1
@KrishThakur-r2v 🫂,0
"Cassidy is spineless hypocrite.. what rfkjr has done to destroy CDC and science research is already part of the vile story of trump regime abandonment of working Americans. Cassidy's failure to seek facts, especially as a doctor, is odious. . as for healthcare plan--he's had ten years to recommend policy. Epic fail.",1
Amen!🙏,0
Has anyone fallen asleep listening to this song?,0
Thats what the government  wants. Population control,1
Great relaxing music. Has really helped me sleep the last couple of weeks. Nov 25,0
"🥀 https://youtu.be/iSOKTJo3IHI?si=ikMZTfzi9Vm9J4Va

https://youtu.be/PUwSCS_JfXc?si=SUF-aKrDJ3VEHzrC

https://youtu.be/TzuxKmFk9L0?si=iVulUwkZkuXJFWNK",1
🫶🏻🥹,0
hi!,0
"sending everyone a virtual hug rn, were all going through everything together ❤",0
"مرحبا أنا الفتى المصري الذي يشبة هاري بوتر قولوا للجماعة بتوعوت رولينج و الجمرة الخبيثة اللى عندكم هل صحيح أن دماءكم تحتوي بداخلها على نسبة من العنصر الذي تريدة وتبحث عنة كل دولة ؟؟ أقصد الغاليوم 🤥 😀😀😀
🤣🙃 .. قولوا لهم أننا نحتاج ذلك العنصر وقولوا لهم أن يعدّوا أنفسهم 

🚑➕⛑️📋💉🛑

🦊⚡  🔥🍤🍤🍤🔥",1
"All these wealthy jerks have no clue what it's like to handle an insurance bill, rent, food, kids, gas costs, and trying to get the medical care you need. These small funds they want to give won't help at all in the long run. Its for show because they know they will get hammered mid terms",1
 @yaswantkrisnaa8444  Are you a time traveller?,0
Cassidy hIS BLOWN WHATEVER CREDIT HE EVER GOT FOR HIS HONEST VOTE ON IMPEACHMENT. NOW HE IS LIXKING BOOTS AND TALKIING UTTER BULLSHIT,1
Measles wasn’t on the rise until anti vaccine morons started refusing MMR shots for their kids.,1
America has the fattest and sickest population and we spend more per person on healthcare than any other county in the world!!   YES ITS TIME TO CHANGE OUR WAYS.,1
Thank you! I’ll go back to my desk and study again and again.. 😭 from Korea,0
Coward.  Should have his medical license revoked.  He did harm.,1
"Does anyone hears creepy, meow song?",0
Too bad the Republicans weren't more concerned with the American citizens over a felon in the WH and voted to keep Kennedy out of this position...the whole damn government (in control now) are the junk drawer cabinet..soon the people should realize these asswopes care more about money than humans....wake up America  !,1
"Whereas I would like to know from CS guys of there's such a thing like that of search in page in text files could there be search console even for comment section to Users on front-end i.e. Client-Side Scripting: JavaScript, along with frameworks like AngularJS and React, powers the interactive elements of YouTube’s web interface ????

Above question always make me think while noticing few important comments to note but couldn't (Assume that I'm not a developer while traveling to workplace by means of bus found some meaningful debate on news channel with thousands of users expressing their opinions in comment section while scrolling noticed sound statements whereas leaving off with bus reaching destination couldn't checkout when returned back home reminded to playback the video wherein twice or thrice comments were added to previous and unfortunately couldn't sort out those comments at Top/Newest, as a non-developer of redaction but normal how to pick up those odd ones out without scrolling till I found them ???",1
Vaxxed vs unvaxxed studies show that the unvaccinated are much healthier,1
Republicans suggest getting off exchanges and buying their health insurance independently. FROM THE SAME INSURANCE COMPANIES ON THE EXCHANGES!! Does nobody see what I am seeing?,1
I love everyone in the comment sections...u dont see lots of people like that now'n days,0
Every single republican is a conman!,1
He doesnt want you to say something negative....he wants you to say something fu..king honest.,1
موسيقى رائعة شعرت أنني سافرت بعيدا لعالم من المحبة والسلام❤❤❤❤❤❤❤❤❤😮😮😮😮😮😮😮😊😊😊😊😊😊😊,0
❤❤❤,0
Liar liar pants on fire!,1
Thank u for this relaxing music I really love it 14:30,0
Senator Kennedy is the Scott Bessent of health care 😒.,1
Shifty doublespeak by Cassidy about RFK. Big surprise. Willful Delusion dude. Resign or do your job.,1
For som odd reason when I listen to this i think of dying light 2 and idk why,0
It made my daughter relax and her pain was gone she is slowly falling to sleep,0
2025,0
"He’s a “fkn idiot” as my grandpa used to say, just like every other epstein accomplice in the trump administration.",1
"Bronze = higher deductible,less coverage.",1
Grow a pair Senator.,1
Barbara life is precious and IAM sure many love you.Pkease talk with someone about how you are feeling.Sending love to you Barbara and peace of mind ❤️🙏,0
"Hello stranger,if you're reading this i just want to give you a big internet hug no matter who you are.Don't stress yourself that much,i get how you're feeling💖💖",0
"Been listening 8 years, never gets old, peace to everyone",0
no polska tak nie jekie angielskie,0
Very peaceful,0
2025 anyone?,0
Vaccines are not safe.,1
One word POLIO.  If it wasn't for vaccines we wouldn't be here today with POLIO.  Does anyone know any history anymore or are we really that stupid as a nation?,1
My go to when I bake up.,0
"Anyone here thanksgiving 2025 
👇",0
"Because of human DNA fetal tissue cells vaccines there is a reoccurrences of POLIO and all sicknesses sree never ever going away again because of bovines vaccines and MR-5 HUMAN FETAL TISSUE CELLS with nanotechnology gold particles that accumulate and forks cl blood clots... I try getting in touch with Robert F Kennedy but for some reason Facebook deadquarter of pedophile like Mark Zuckerberg know I know so he and his devils are doing everything to hide My saving words.. woe unto pedophiles as mark Zuckerberg and the pedophile Synagogue of satan who say they are Jews and are not. Woe unto lawmakers who promoting human DNA fetal tissue cells and use their unjust laws to prosecute who knows but one thing I know I and mines will never take it, and we are more healthier than all. If you combined.. We can't die like you all weaklings and you are begging us to be apart of your stinking bumbohole satan medicines that justify murdering babies for medicine so others can live a very short Bloodclaat death and damnation plagued with all the unnecessary health problems. GOD AND CHRIST BE FOR I RAS BERHANIE SELASSIE THE CHAMPION NO POWER ON EARTH CSN EVER EVEN QUESTION ❓... YOU ARE ALL AFRAID OF I",1
November 2025,0
i like,0
This man is liable for ever child death that brainworm freak causes. So that's 2 and counting so far. Murderer !!!,1
"Republicans are a terrible joke.  A complete disaster on everything.  ""We are working on it"" is their refrain. Zero solutions",1
So he wont do anything... Thanks Bill.,1
"Tapper said ""going to result in more dead Americans"", I just want to clarify; it is not just Americans.  We got idiots down here in Australia, that see what RFK and Trump say about vaccines or Acetaminophen/Panadol/Tylenol.  They are convincing idiots around the world to kill themselves, their children, other people,  other people's children.  Fck RFK, fck Trump, fck the lot of them.",1
"I liked the late Jack Cassidy, I really admired that man, wanted to be an actor like him. He died in a fire. When I heard how he died, I was very sorry. But let's be clear, I am not talking about the Sen. Cassidy.",1
"Pani Basiu, sens życia jest taki jaki Pani mu nada. Mimo że jestem młoda to choruje na nerwicę lękową i odkąd się leczę moje wszelkie leki zniknęły. Może warto rozważyć konsultację. Niech Pani sobie sprawdzi medytacje Gosi Mostowskiej ,,na trudny czas” tak się nazywa. Życzę wszystkiego dobrego ❤",0
Spineless idiot,1
If trump believes vaccines are safe why did he nominate a guy who is a KNOWN vaccine skeptic and changed information related to peer reviewed studies on the CDC website? All these sycophants do is defend the indefensible things this president does.,1
Wakacje na Majorka,0
After my surgery I'm listening to this and I feel like I'm in heaven. 😶‍🌫️,0
"I just wanted to say, always belive in yourself no matter what happens in life. 
Everything will be okay the next day when you get enough sleep for the next day. Hope you get more rest and live a lovely life to wake up to the next day. ><
Even though you don't know me, and since I'm a stranger online.. Just, do your best, don't give up. 
All I ask for is to be you and love urself no matter what happens.",0
Keep taking those covid shots,1
SO CHILL OMG <33 LOVE THE VIBE,0
What a spineless senator and man.,1
typo: elected not erected,1
All he could do was deflect. He needs to lose his seat. He is responsible for RFK Jr being in this position. People will die.,1
"A completely feckless and impotent reply from a medical professional. People will suffer and die as a result of Cassidy's inaction, and he couldn't care less.",1
Yağmur sesi daha cazip geliyor,0
He knew then that RFK was unqualified and dangerous and he voted him in anyway.,1
"Hi y’all, I know you guys have been going through a tough life, but we still need enough sleep. So, let us all enjoy this peaceful music and go to sleep 😊.
Goodnight from HK 🇭🇰",0
So what is too much of a person's income for healthcare?,1
Liar!,1
Cassidy has hereby stopped criticizing anything and everything. It's only he said she said anyway. So don't ever let us hear him criticize anything. Then he criticize Biden. What a joke. Go home!,1
very natural views videos,0
It's 2025 and is anyone still here?,0
"we dont know  each other here.. maybe some of u come from europe, come from asia.. etc.. we are from  different country.. different race.. but now we are here together to find peace.. No matter where are you from, what your race. we are here for one reason. find peace.. lets pray together no more  war in this world. World  is more beautifull if we live together as a peacefull.

Goodnight, From viet nam",0
🇼🇫,0
Republicans are so sensitive it's laughable.,1
"What a coward.
A spineless, gutless coward.",1
This guest is exhibiting calling card traits of a homosexual,1
"Cassidy should face consequences for destroying our healthcare with his vote allowing RFK in charge of our healthcare, now talking about “principles “ trying to back track, his constituents need to confront him, vote him out! Take his medical license away!",1
hello,0
This is why all these old white men need to retire or get voted out!!!,1
This comes as quite a shock. I never would have expected this from the Kennedy that got dropped on his head as a child. He should be studying the connection between heavy drug use and the belief in secret decoder rings and conspiracy theories.,1
thanks for the music .,0
"Dud, Cassidy! I dont trust him, but I would like to know about the GOP plan and the others.",1
Who watch it in 2025,0
To get on national TV and not talk around the fact that you made a mistake and to comment what RFK is doing is wild. Republicans are going to pay heavily in the midterms and far beyond that.,1
It’s crazy how this can literally relax your mind and everything and just put you at peace 🥹❤️,0
"The vaccine court has paid out over $5 billion to 12,000 plaintiffs that have been injured or killed by vaccines",1
🌻 I can't stress enough how relaxing this guitar playlist is! It's perfect for study sessions or work breaks. Highly recommend 🙌,0
My sister hew sleep,0
Two twatwaffles on screen.,1
You voted for a nut job. What did you expect.,1
"COVID vaccines caused deadly blood clots, clots that resulted in amputations, and bells palsy, but no one will discuss this on CNN",1
"I LOVE this,it makes me so calm and it makes me so sleepy.Please try it!😊",0
"Here, where I am every night listening to the most relaxing music I’ve known",0
Cassidy is a TOTAL SELLOUT. What makes this really shitty is that he’s a doctor and knew RFK was a quack. Total POS POLITICAL ANSWER. He confirmed his nomination anyway and now he thinks he can assuage his guilt by talking to major news outlets to express his “strong concerns.” Yet I see no real action being taken to remove RFK or push back in meaningful ways against his anti-science policies. His decision to confirm RFK will lead to countless deaths in this country. So much for the hypocratic oath.,1
"Coward Cassidy. ""I won't speak against it but talk to your own doctor and don't listen to our healthcare information.""",1
Guys who all are here in 2025 November,0
2025 8th Nov 12.32,0
xd,0
Any one here november 2025?,0
I hope every parent of the dead kids take RFK Jr to civil court and sue the shit out of him,1
Hello,0
What an idiot,1
Anyone in 17.11.2025😊😊😊,0
Jake is a good little lap dog for big Pharma,1
"If I were president, anyone making under 200k will have free Healthcare anthing above will get higher the more you make",1
Any one here december 2025?🥳🎉,0
Relaxing portion ❤,0
Dr Cassidy is the modern day Dr. Frankenstein,1
"6.11.2025 ,,,,,,  02:54 Am",0
Hi,0
Thanks,0
"We suggest that Britain establish an airbase in Cyprus and fight and defend Israel, killing 20,000 children in Gaza alone, and killing people in Lebanon, Yemen, and Syria. We say to London: Enough! Send weapons to Israel, and all British psychiatrists should be sent to Israel to treat their intense desire to kill and shed the blood of children. Stop, Britain! You have crossed the line of morality of Jesus Christ, son of Mary.",1
No trump does not believe vaccines are safe,1
pr,0
Primary Dr Barrasso!,1
Any one here November 2025?,0
Hi I am from 2030 anyone  like me 😉,0
"It's rich, Jake calling someone a liar.",1
